contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPX260918C00200000,2026-05-15 15:55:19+00:00,200.0,7188.75,7164.7,7188.7,-72.1499,-0.99367714,98.0,33,1.0000000000000003e-05,True,REGULAR,USD
SPX260918C00400000,2026-05-04 18:17:58+00:00,400.0,6783.81,6967.5,6991.5,0.0,0.0,2.0,2,1.0000000000000003e-05,True,REGULAR,USD
SPX260918C00600000,2025-09-29 15:11:20+00:00,600.0,6046.13,6093.2,6132.2,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPX260918C00800000,2026-03-24 16:32:59+00:00,800.0,5768.96,6538.4,6562.4,0.0,0.0,100.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPX260918C01000000,2026-04-24 15:42:41+00:00,1000.0,6131.09,6376.2,6400.2,0.0,0.0,1.0,251,1.0000000000000003e-05,True,REGULAR,USD
SPX260918C01200000,2025-09-03 13:36:31+00:00,1200.0,5241.91,0.0,0.0,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPX260918C02000000,2026-03-20 16:20:31+00:00,2000.0,4574.65,5069.3,5093.2,0.0,0.0,400.0,457,1.0000000000000003e-05,True,REGULAR,USD
SPX260918C02200000,2026-05-15 15:17:46+00:00,2200.0,5236.33,5194.5,5218.5,-21.719727,-0.41307572,95.0,7,0.9313513945007323,True,REGULAR,USD
SPX260918C02300000,2025-09-17 13:48:01+00:00,2300.0,4356.4,0.0,0.0,0.0,0.0,,18,1.0000000000000003e-05,True,REGULAR,USD
SPX260918C02600000,2026-04-07 15:15:57+00:00,2600.0,3984.7,0.0,0.0,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD
SPX260918C03000000,2026-05-13 13:48:58+00:00,3000.0,4396.99,4408.0,4432.0,0.0,0.0,1.0,157,0.7196835893249511,True,REGULAR,USD
SPX260918C03200000,2026-05-15 15:55:19+00:00,3200.0,4235.6,4211.5,4235.5,24.359863,0.57844865,3.0,9,0.6994811546325683,True,REGULAR,USD
SPX260918C03400000,2026-05-14 19:42:19+00:00,3400.0,4133.62,4018.7,4031.9,0.0,0.0,302.0,300,0.6649508602905275,True,REGULAR,USD
SPX260918C03500000,2026-02-02 11:38:26+00:00,3500.0,3465.44,3167.9,3191.9,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD
SPX260918C03800000,2026-02-17 15:33:33+00:00,3800.0,3045.36,2835.2,2848.4,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
SPX260918C03900000,2026-02-02 11:38:26+00:00,3900.0,3080.64,2783.6,2807.6,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
SPXW260918C04000000,2026-05-08 16:58:37+00:00,4000.0,3432.39,3430.9,3442.9,0.0,0.0,2.0,1,0.590473455657959,True,REGULAR,USD
SPX260918C04150000,2026-03-20 14:59:02+00:00,4150.0,2481.33,2973.3,2983.8,0.0,0.0,1.0,2,1.0000000000000003e-05,True,REGULAR,USD
SPX260918C04200000,2026-02-17 15:33:33+00:00,4200.0,2662.46,2449.9,2462.5,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPX260918C04250000,2025-09-16 18:39:49+00:00,4250.0,2523.38,2549.5,2589.5,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
SPX260918C04275000,2026-03-24 14:57:57+00:00,4275.0,2391.93,3126.6,3150.6,0.0,0.0,,0,0.48828636718750007,True,REGULAR,USD
SPX260918C04300000,2026-03-23 19:22:07+00:00,4300.0,2391.87,3102.2,3126.2,0.0,0.0,22.0,0,0.4865468826293946,True,REGULAR,USD
SPX260918C04400000,2026-04-09 18:11:49+00:00,4400.0,2489.36,3036.1,3045.9,0.0,0.0,27.0,400,0.5236711451721192,True,REGULAR,USD
SPX260918C04450000,2026-04-06 14:27:01+00:00,4450.0,2238.79,2955.8,2979.8,0.0,0.0,1.0,0,0.4746604048156738,True,REGULAR,USD
SPX260918C04500000,2026-04-10 19:28:51+00:00,4500.0,2392.57,2939.3,2947.7,0.0,0.0,1.0,38,0.5117846673583983,True,REGULAR,USD
SPX260918C04550000,2025-06-03 16:51:34+00:00,4550.0,1703.05,1913.4,1952.8,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
SPX260918C04600000,2026-05-14 19:45:56+00:00,4600.0,2957.03,2845.1,2856.0,0.0,0.0,14.0,16,0.5117312621307373,True,REGULAR,USD
SPX260918C04700000,2025-08-22 14:15:39+00:00,4700.0,1978.68,2121.9,2162.7,0.0,0.0,2.0,1,1.0000000000000003e-05,True,REGULAR,USD
SPX260918C04800000,2026-04-20 17:36:42+00:00,4800.0,2376.58,2650.5,2661.0,0.0,0.0,500.0,575,0.4972279281616212,True,REGULAR,USD
SPX260918C04825000,2025-10-06 18:52:58+00:00,4825.0,2121.44,2097.2,2108.5,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD
SPX260918C04850000,2026-04-20 17:36:42+00:00,4850.0,2328.38,2601.2,2611.8,0.0,0.0,,500,0.48914848014831547,True,REGULAR,USD
SPX260918C04900000,2026-05-07 19:44:54+00:00,4900.0,2497.0,2552.5,2563.0,0.0,0.0,1.0,9,0.48191970111846927,True,REGULAR,USD
SPX260918C04925000,2026-03-17 16:38:04+00:00,4925.0,1911.4,2225.1,2234.6,0.0,0.0,,3,1.0000000000000003e-05,True,REGULAR,USD
SPX260918C04950000,2026-04-16 15:43:54+00:00,4950.0,2171.0,2504.7,2515.2,0.0,0.0,3.0,3,0.4766898034667969,True,REGULAR,USD
SPX260918C04975000,2025-11-17 20:48:18+00:00,4975.0,1893.83,2103.0,2108.0,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD
SPX260918C05000000,2026-05-15 17:30:26+00:00,5000.0,2506.85,2455.4,2465.8,-33.369873,-1.3136607,175.0,39757,0.4681945576095581,True,REGULAR,USD
SPX260918C05025000,2025-09-05 15:05:08+00:00,5025.0,1671.13,1814.7,1831.5,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPX260918C05050000,2026-03-10 14:53:28+00:00,5050.0,1892.97,2105.4,2114.8,0.0,0.0,2.0,6,1.0000000000000003e-05,True,REGULAR,USD
SPX260918C05100000,2026-04-09 18:11:49+00:00,5100.0,1820.46,2355.7,2363.8,0.0,0.0,27.0,16,0.4451959777832031,True,REGULAR,USD
SPX260918C05150000,2025-12-19 14:52:35+00:00,5150.0,1837.64,1981.4,1988.4,0.0,0.0,1.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPX260918C05175000,2025-11-18 21:00:10+00:00,5175.0,1675.83,1917.5,1922.5,0.0,0.0,1.0,3,1.0000000000000003e-05,True,REGULAR,USD
SPX260918C05200000,2026-04-09 19:16:11+00:00,5200.0,1731.66,2259.0,2266.8,0.0,0.0,168.0,104,0.43202014518737797,True,REGULAR,USD
SPX260918C05250000,2025-11-25 19:58:06+00:00,5250.0,1717.36,1849.2,1852.9,0.0,0.0,2.0,4,1.0000000000000003e-05,True,REGULAR,USD
SPX260918C05300000,2025-06-26 14:22:10+00:00,5300.0,1189.57,1588.6,1627.8,0.0,0.0,2.0,1,1.0000000000000003e-05,True,REGULAR,USD
SPX260918C05350000,2026-05-14 14:11:37+00:00,5350.0,2195.32,2117.5,2127.3,0.0,0.0,,5,0.4217873221015931,True,REGULAR,USD
SPX260918C05400000,2026-03-20 14:15:16+00:00,5400.0,1328.5,1773.4,1782.3,0.0,0.0,2.0,508,1.0000000000000003e-05,True,REGULAR,USD
SPX260918C05425000,2025-08-29 13:49:54+00:00,5425.0,1353.98,1469.9,1484.8,0.0,0.0,2.0,1,1.0000000000000003e-05,True,REGULAR,USD
SPX260918C05450000,2025-06-23 16:03:29+00:00,5450.0,972.96,1459.5,1499.6,0.0,0.0,,3,1.0000000000000003e-05,True,REGULAR,USD
SPX260918C05500000,2026-05-08 13:32:00+00:00,5500.0,1954.51,1974.3,1983.7,0.0,0.0,1.0,53,0.40331483531951906,True,REGULAR,USD
SPX260918C05525000,2025-09-26 16:23:56+00:00,5525.0,1399.55,1481.2,1490.5,0.0,0.0,1.0,5,1.0000000000000003e-05,True,REGULAR,USD
SPX260918C05550000,2025-12-30 20:27:22+00:00,5550.0,1542.75,1565.8,1569.6,0.0,0.0,30.0,1,1.0000000000000003e-05,True,REGULAR,USD
SPX260918C05600000,2026-04-07 19:55:57+00:00,5600.0,1183.1,1875.7,1882.3,0.0,0.0,3.0,109,0.38250205516815183,True,REGULAR,USD
SPX260918C05625000,2026-04-10 16:30:08+00:00,5625.0,1333.5,0.0,0.0,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD
SPX260918C05650000,2026-04-10 16:05:49+00:00,5650.0,1310.76,1827.1,1834.6,0.0,0.0,25.0,97,0.3764710791015625,True,REGULAR,USD
SPX260918C05675000,2025-09-11 19:52:09+00:00,5675.0,1241.23,1263.2,1277.4,0.0,0.0,10.0,70,1.0000000000000003e-05,True,REGULAR,USD
SPX260918C05700000,2026-04-13 13:52:13+00:00,5700.0,1254.2,1779.5,1786.5,0.0,0.0,10.0,66,0.3697935183143616,True,REGULAR,USD
SPX260918C05725000,2025-08-07 16:03:14+00:00,5725.0,1006.5,1231.0,1269.1,0.0,0.0,1.0,3,1.0000000000000003e-05,True,REGULAR,USD
SPX260918C05750000,2025-10-15 13:52:06+00:00,5750.0,1267.46,1136.4,1144.6,0.0,0.0,1.0,6,1.0000000000000003e-05,True,REGULAR,USD
